#separator:tab
#html:true
#tags column:3
"32F + low MCV + low Hb + smear is shown below; Dx?<br><img src=""paste-d55f350f68556e191d781ead2389cc8dfe0a7ad6.jpg"">"	&nbsp;iron deficiency anemia (IDA); smear shows pale RBCs (i.e., with central pallor).	
"32F + low MCV + low Hb + smear is show below; Dx<br><img src=""paste-3c75a424060d37b09107d5e803bf07d71a81241b.jpg"">"	thalassemia; smear shows target cells; these may be seen in other DDx, however on USMLE thalassemia is by far the highest yield association.	
32F + low MCV + low Hb; next best step in Mx?	check serum iron and ferritin.	
32F + low MCV + low Hb + low Fe + low ferritin	IDA.	
32F + low MCV + low Hb + normal Fe + normal ferritin	thalassemia.	
32F + normal MCV + low Hb + low Fe + normal ferritin; Dx?	anemia of chronic disease (AoCD).	
32F + rheumatoid arthritis + low MCV + low Hb + low Fe + normal ferritin; Dx	AoCD;<br><br>student says, “Wait, but I thought MCV was supposed to be normal in AoCD.” à plenty of 2CK-level Qs give low MCV for AoCD. That’s you’re value point	
32F + low MCV + low Hb + high red cell distribution width (RDW); Dx	IDA.	
32F + low MCV + low Hb + low/normal RDW; Dx	thalassemia.	
32F + low MCV + low Hb + high transferrin binding capacity; Dx?	IDA.	
32F + low MCV + low Hb + low/normal transferrin binding capacity; Dx?	AoCD.	
32F + low MCV + low Hb + no improvement with iron supplementation; Dx + next best step in Mx?	answer = thalassemia; next best step = hemoglobin electrophoresis.	
Mechanism for thalassemia	decreased production of one type of hemoglobin chain (i.e., if ↓&nbsp;alpha chain production, then Dx is alpha thalassemia; same for beta, respectively	
"Why is RDW low or
normal in thalassemia but high in IDA?&nbsp;"	"<div>decreased heme chain
synthesis results in RBCs that are
uniformly small (red cell distribution width is ↓ because all
resultant RBCs are small); in IDA, the microcytosis is non-uniform, so some RBCs are small; others are larger; the result is ↑ RDW in IDA.</div>"	
"32F + pregnant +
completely asymptomatic till this point + low MCV + low Hb + starts taking
prenatal vitamin supplement + three
weeks later still has low MCV and low Hb; next best step?&nbsp;"	"<div>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
hemoglobin electrophoresis.
Dx = alpha thalassemia silent, which refers to one alpha mutation (out of a possible four) → asymptomatic apart from microcytic anemia
on FBC.</div>"	
"32F + pregnant + Hx
of fatigue + low MCV + low Hb + normal iron and ferritin; Dx?&nbsp;"	"<div>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
answer = alpha thalassemia trait (two mutations);
patient will present similar to mild/moderate IDA but have normal serum
iron and ferritin.</div>"	
"8F + severe anemia +
hepatosplenomegaly + normal iron and ferritin + Hb electrophoresis shows tetrameric beta-hemoglobin (b4); Dx?&nbsp;"	"<div>&nbsp;hemoglobin H disease
(three alpha mutations).</div>
<div><br></div>"	
32F + pregnant + fetus dies&nbsp;<i>in utero&nbsp;</i>+ fetal blood sampling shows tetrameric gamma-hemoglobin (c4);&nbsp;Dx?.	&nbsp;→&nbsp;hemoglobin&nbsp;Barts&nbsp;(four&nbsp;alpha&nbsp;mutations);&nbsp;fatal&nbsp;<i>in&nbsp;utero</i>	
"<img src=""paste-2ce96f0b1d913b3587cbdf5399f1621f731147e0.jpg""><br><div>6M + low MCV + low Hb + hepatosplenomegaly + HbA2 6% + following x-ray of head; Dx?</div>"	"beta-thalassemia
major; almost always a child; “chipmunk facies/skull” and hepatosplenomegaly occur due to ↑↑ extramedullary hematopoiesis"	
"6M + low MCV + low Hb + normal iron and ferritin
+ hepatosplenomegaly + HbA2 6%; Tx?&nbsp;"	"<div>&nbsp;serial
blood transfusions + iron chelation therapy (e.g., deferoxamine) for
beta-thalassemia major; serial blood
transfusions done to Tx thalassemia result in iron overload; do not confuse
this type of iron overload with that
of hereditary hemochromatosis, which is instead managed with serial phlebotomy, not chelation therapy. The
iron overload due to serial transfusions is called secondary hemochromatosis (transfusional siderosis).</div>"	
"10F + receiving
transfusions for beta-thalassemia major; Q asks: to avoid iron overload,
measurement of which of the
following is most sensitive in assessing patient’s iron stores;&nbsp;"	<div>ferritin;&nbsp;</div><div>wrong answer are iron saturation and transferrin.</div>	
22F + low MCV + low Hb + fatigue + HbA2 6%; Dx?&nbsp;	"beta-thalassemia minor;
usually adult"	
What’s the deal with the HbA2. What does that mean?”&nbsp;	"<div>&nbsp;highest yield point for beta-thalassemia major and minor is that HbA2 (a2d2; alpha2-delta2) is increased on hemoglobin electrophoresis.</div>
Normal adult Hb is HbA1 (a2b2); fetal Hb is HbF (a2c2; alpha2-gamma2).<br>"	
Normal MCV?&nbsp;	80-100 fL.	
Normal Hb?&nbsp;	"according to literature, in men + elderly it’s 13.0-17.5 g/dL; menstruating females
12.0-17.5 g/dL. Below these thresholds, patient has anemia.
Above, patient has polycythemia."	
Normal Hct?&nbsp;	"<div>Men and elderly:
42-52%; women: 36-46%.</div>"	
Normal WBC	4-11,000 / uL.	
"<table>
<tbody><tr>
<td>
<div><b>Iron deficiency vs anemia</b></div>
</td>
<td>
<div><b>Thalassemia</b></div>
</td>
</tr></tbody></table>"	"<img src=""paste-a2ec7b71af69b21dee5fed84594f7fd017e2ccfa.jpg"">"	
"72M + fatigue + smear shows
pale RBCs + Hb 9.4 g/dL; most likely cause?&nbsp;"	"<div>GI blood loss (IDA) → must think
diverticular bleed, colorectal cancer, and angiodysplasia causing IDA in
elderly patient with fatigue; 2CK-level Qs will jump straight to colonoscopy as the answer.</div>"	
"65M + pain in fingertips for 3 weeks + facial
plethora + splenomegaly + Hb 20.2 g/dL + WBCs 14,500
with normal differential + normal platelets + O2 sats 94% on room air;
Dx + Tx?&nbsp;"	polycythemia vera (PCV); Tx = phlebotomy.	
Mechanism of PCV?&nbsp;	"<div>JAK2 mutation causing
“proliferation of bone marrow stem cells.” Erythropoietin
(EPO) is <b>decreased </b>because it is
suppressed. Although oxygen sats should be as close to 100% as possible, patients
generally hold up fine with sats &gt;94%.</div>"	
"48F + pruritis after
a shower + high WBCs + Hb 19.5 g/dL;
Dx?&nbsp;"	"PCV; pruritis
after a shower
is a classic finding → reflect basophilia; WBC count can be normal
or elevated in PCV"	
"50F smoker + Hx of
COPD + Hb 18.5 g/dL; Dx + mechanism?&nbsp;"	"<div>secondary polycythemia → <b>increased </b>EPO due to
low oxygen tension (e.g., in COPD, CF, etc.) → mechanism
is “proliferation of erythroid precursors” → this is because the high EPO results in an elevation
of <i>only </i>RBCs; in PCV, O2 sats would be 94% or greater
and WBCs and/or
platelets may be elevated.</div>"	
