= ltem2of40 5 v Mark <q Se rc j @ él

— " . L
‘Question Id: 21466 Praras Next FullScreen Tutorial__—_Lab Values

[02] e

Notes Calculator _ Reverse Color

GA &

Text Zoom —_ Settings

A 23-year-old graduate student comes to the emergency department after being raped by a
man she met at a bar 5 days ago. The night of the incident, the patient recalls a man
introducing himself and handing her a drink. Shortly afterward, she left with him and walked to
her apartment, but she is unable to remember the remainder of the night. The following
morning, the patient awoke to an empty apartment, and her clothes were strewn across the
floor. She felt panicky and decided to take a shower to calm down. The patient mentions that
she decided to come in for evaluation after talking to campus crisis services earlier today. She
states she has not reported the incident to the authorities due to her hazy memory. Which of
the following is the most appropriate initial statement by the physician?

©) A. "Deciding to get an evaluation takes courage; we should perform a pelvic
examination today given the circumstances."

©) B. "I'm sorry that this happened to you; have you taken any emergency
contraception?"

©) C. "It must be difficult talking about what happened; have you been experiencing any
nightmares or flashbacks?"

©) D. "It's important that you feel safe here; please let me know if you need to stop or take

Block Time Elapse

Tutor

End Block
